,year,sentence
17,1924,Marriage annulled McCAHILL MARRIAGE ENDED.; Court Finds Youth Deceived Helen Ahrens as to His Age.
18,1924, Paris Is Skeptical.
19,1924,Trade treaty signed BRITAIN AND GERMANY SIGN TRADE TREATY; Recovery Tax Issue to Be Discussed by Germany With Agent General Gilbert.
20,1924,Lr from J H Behrens on tipping in Statler hotels Eliminating Many Tips.
21,1924, Birth Notice 1 -- No Title
22,1924, Obituary 1 -- No Title
23,1924,"Predictions by Sen Smith COTTON EXCHANGE OPENS IN CHICAGO; 45,000 Bales in First Day's Sales at Prices 39 to 56 Points Below Day's Best."
24,1924,"The film version of Robert W. Service's ""The Roughneck,"" now on view at the Central Theatre, is a boy's idea of adventure with plenty of scenes of George O'Brien's biceps and ankles. After observing all that Mr. O'Brien experiences as Jerry Delaney, one concludes that he needs his deep chest and brawny arms. Mr. O'Brien goes to no particular pains to conceal that he has the strength of an ox and the ankles of a Mercury. He has an artistic waist line, a physiognomy suited to adventurous rôles in melodramatic pictures and dark hair with the suggestion of a curl.Delaney is a judicious modern knight. In one sequence the pretty heroine. Felicity Arden (Billie Dove), is forced by a storm to take refuge in Mad Marrat's dwelling on the South Sea Isle. Jerry's mother is well aware of Marrat's designing brutality, and she therefore urges her son to hasten over to the other section of the island and save the girl, with whom he is in love. He is about to start, when he thinks it over, saying to his mother: ""I can't go. I have got one man's death to answer for.""Jerry began to have adventures as a small boy, and he has them thrust upon him until the closing scene of this picture. No sooner has he escaped from drowning that he is asked to engage in a fist fight, which is delayed for monetary reasons until that evening.The fight appears to be going against the hero—as these conflicts usually do on the screen—when suddenly Jerry's opponent blurts out an insult about Jerry's mother, and he flares up and punches with such vim and rapidity that when they look at the other man he is thought to be dead.One of Jerry's passing adventures takes place when he is aboard a vessel bound from San Francisco for Tahiti. Felicity is on the steamship, and, as Jerry has been a stowaway, the girl urges him to swim ashore. It is a full five miles, which would not have been such a terrible task for this young gentleman, but Felicity had not calculated upon sharks. As soon as they are mentioned in a subtitle, one of these man-eaters appears, its dorsal fin being seen hurrying in Jerry's direction, acting more like a motor launch than one's conception of a shark. Here one has to be very young and quite credulous, for a native girl springs from her craft and goes to Jerry's rescue, engaging the fish in battle under water. One sees Jerry having his tussle under the surface, and then the lithe form of the girl putting a knife through the shark's belly.This picture is made up of this type of thrills, which are hardly convincing to an adult. The most capable actor in the cast is Harry T. Morey, who has the rôle of Marrat, the villain. He is well worth seeing. Miss Dove is attractice as Felicity and Cleo Madison is competent in the maternal rôle. Mr. O'Brien apepars to have a weakness for displaying his figure, but otherwise his performance is good.This is an extravagant story which is only likely to apepal to the youthful mind. THE SCREEN; Strained Adventures."
25,1924,Clubowners prepared to fight against high salaries and bonus MINORS WILL START BIG SESSION TODAY; Club owners to Fight Against High Salaries and Bonus at Hartford Meeting.
26,1924,Races U.S. Women Stars Will Seek British Golf Championship
27,1924,"Baer (Mrs), I, vs divorced husband's new wife at Denver SUES HUSBAND'S NEW WIFE.; Mrs. Irene Baer Asks $400,000 for Alienation of Affection."
28,1924,"New schedule of increased express service on west side subway I.R.T. INCREASES EXPRESS SERVICE; New Schedule, in Effect Today, Made Possible by Receipt of 100 New Cars."
29,1924,"NEW ORLEANS, Nov. 30. -- The latest cotton crop estimates from private sources range from slightly over 13,000,000 bales to 13,400,000 bales, exclusive of linters. One authority has estimated linters at 800,000 bales and predicted that the carry-over at the end of the season would reach a little above 4,000,000 bales.   COTTON CARRY OVER MAY BE 4,000,000 BALES; A Decided Increase in Consumption Reflected in Estimates as Well as in Buying."
30,1924,Funeral FUNERAL 0F'MISS HEWITT.; Calvary Church Crowded at Services for Late Mayor's Daughter.
31,1924," NAVAL OFFICERS WIN PAY.; Court Rules That Controller Cannot Withhold It for ""Debt."""
32,1924,Mayor Campbell demands retirement of Police Chief J W Rynex and Detective Sgt D Ragucci; their refusal SCHENECTADY CHIEF ORDERED TO RETIRE; Mayor Acts When Charges Made by Murdered Police Captain Are Published.
33,1924,Inquiry reopened; Miss Schneider and 8 others called for hearing TO REOPEN INQUIRY INTO ROGERS DFATH; North Haven (Conn.) Grand Jurors Summon Miss Schneider to Secret Session Thursday.
34,1924,Officials predict Parole Bd will rescind pardon Paterson to Be Made Patriotic If It Costs Every Man His Hat
35,1924,"Costunles valued at nlore than $100,000 have been loaned by Fifth Avenue merchants to menlbers of tile operettm, ""Carnlela,"" which will be presented on Thursday and Friday nights at the XA-ali dorf-Astoria for the benefit of the Babies' ]{ospitsl - and St. Bartholonew's }[ospttal and (tinie.   ' Carmela' in Aid of Babies' Hospital."
36,1924,"Ala branch of family files claim to estate Claim $4,000,000 Estate Here."
37,1924, Article 2 -- No Title
38,1924,Marries Mildred C Thomas MILDRED THOMAS BRIDE.; red to H. P. Duford in North Prcstyterlan Church -- Other Nuptials.
39,1924,"PARIS, Dec. 1. -- Captain James Charles Arthur, aide-de-camp to the Oriental potentate known as ""Mr. A,"" who is alleged to have conceived the plan of obtaining 150,000 and nearly succeeded in obtaining twice that amount by blackmail from the mysterious hero of the sensational London trial, is in the hands of the Paris police.   POTENTATE'S AID ARRESTED IN PARIS IN BLACKMAIL CASE; Capt. J.C. Arthur Accused of Originating Scheme That Mulcted Prince of 150,000."
40,1924,Oct report EXPORTS TO EUROPE STILL ABOVE LAST YEAR
41,1924,Condition after insulin treatment for diabetes W. LAWSON IN HOSPITAL.; Financier Is Comfortable After Insulin Treatment for Diabetes.
42,1924,Inquiry into attempt to bribe Jury BRIBE HUNT STARTS IN SILKWORTH CASE; Federal Prosecutor Examines Three Jurors Who Reported Offers From Defense.
43,1924,Called to conf in Phila on means of opposing amendment ' SENTINELS' TO CONFER ON CHILD LABOR ISSUE; L.A. Coolidge Calls Meeting for Saturday in Philadelphia to Combat Amending Process.
44,1924,"Norman, R, find Summer home ransacked on return from Europe SUMMER HOME RANSACKED.; Reginald Norman Returns From Europe to Inspect Damage."
45,1924,Will take over Miers mines and plants in Spain GERMANS ACTIVE IN SPAIN.; Said to Be Acquiring Interests in Mines and Other Enterprises.
46,1924,"Pascale (Mrs), Margt, cigar and candy store; A Karl arrested BIND WATCHMAN, ROB LAUNDRY SAFE; Aged Guardian Forced to Lie Gagged for Three Hours as Three Robbers Work."
47,1924,"Lr on child labor amendment Congress, It Is Said, Could Not Bar Home Chores of 18-Year-Old Youths"
48,1924,Anti-Fascista conf in Milan FASCISM DENOUNCED AT BIG MILAN RALLY; Seventy-four Deputies and 99 Delegates From All Over Italy Attend Conference. SECRET MOVE BY MUSSOLINI He Sends All Fascist Members of Chamber to Their Constituencies With Sealed Letter.
49,1924,R I plants reopen Rhode Island Cotton Mills Reopen.
50,1924,"Introduces O E Miller, lecturer on rejuvenation WOMEN CROWD TO HEAR A MILLER LECTURE; Paid Classes at the Plaza by a Much Denounced Physicist to Follow Free Hearings."
51,1924, ADMITS LOSS OF WENDELL.; Williams Now Says Efforts to Retain Coach Were Unsuccessful.
52,1924,"With its constantly changing scene of wondrous beauty and players in medieval costumes who appear to belong to the life of yesteryear, the picturization of George Eliot's ""Romola,"" was presented last night before a brilliant gathering in the George M. Cohan Theatre. It mattered not that the narrative was unfolded with deliberation or that the villain held the stage more than the heroine or the hero, as the shadows were always stirring with their remarkable scenic effects, the artistic lighting and the obvious endeavor to have every little detail put forth with a careful reflection of past ages.This entrancing shadow story was produced in Italy, Florence being used as the background for the romance of Romola, the faithful and loving daughter of Bardo Bardi, the blind scholar, whose books singularly enough compensated him for the loss of his eyesight. Last night one saw him before his great hearth, Romola kneeling beside him and Carlo Bucellini (Ronald Colman) ever ready to do the bidding of the old man or the wistful maid.Lillian Gish plays the part of Romola, and her sister Dorothy is cast as Tessa, the humble daughter of a marketing woman. William H. Powell, who gained no little fame by a part he played in ""The Bright Shawl,"" figures as Tito Melema. He gives a splendid performance.Henry King, the director of ""The White Sister,"" was the guiding spirit of this new production. He has a style of his own, and his artistic bent is apparent in most of the glorious scenes of this film. The settings are really something to marvel at, and no less impressive are the exteriors. There are white, winding roadways flanked by sun-bleached stone walls, old gates that have stood the test of centuries of seasons, worm-eaten oaken doors, cobble-stone squares and a glimpse of a lazily flowing river. Mr. King used Florence for all it was worth in this picture, and even if the story were not as good as it is, the scenes are so beautiful that they in themselves are worth every instant one spends viewing this picture. At times the photography is of such excellence that it appears to have depth. There are views in the sunshine and others tinted for moonlight which would awaken enthusiasm in the eyes of any artist.Added to all this there is the presence of the graceful, restrained, thoughtful and spiritual Lillian Gish, who never appears to make a false move or a wrong expression during the many scenes in which she appears. Her sister Dorothy is of a different temperament, but she suits the part she fills in this film. She is boisterous, impulsive, credulous, but passionately devoted to Tito, the scoundrel who deceives the two girls and his father.In the opening scenes there are the ships with their men of brawn pulling with sharp, quick strokes on the great oars—the galley slaves. Tito is returning from Greece with his foster father when their vessel is attacked by pirates. The father urges Tito to leap into the water and swim ashore, so that the young man can sell the jewels and eventually rescue the old man. He has courage to plow his way through the calm water to safety, but Tito's eyes are ever ready to flash with affection upon a pretty Florentine maid. He, therefore, forgets about his old father, and pulls strings to get into politics.His sauve sympathy appeals to old Bardi, who in the end suggests that Tito wed his daughter. You see Bardi on his favorite chair, before the blazing fire with its cone-shaped chimney, inhaling a perfume from a flower he holds between his thumb and forefinger. Suddenly Romola lets fall a book and the irate father springs to his feet, quickly reminding the girl that the books mean everything to him. Tito promises that he will carry on the work of the old man, but, as usual, he finds it convenient to do otherwise. In the end he sells the precious books.There is a fine dramatic sequence where Romolo has been injured by the maddened mob and is taken to Tessa's stone dwelling. Tessa expects her husband, who is now clad as Carpaccio pictured the Venetian dandies—with doublet and hose, and slashed sleeves filled with blossoming varicolored silks. Romola does not know that the man who is the father of Tessa's baby, is also her own husband.Another thrilling chapter is where Baldassarre Calvo, Tito's foster father, reaches Florence as a weary, footsore tramp. Tito impudently denies that he knows the aged man, but finally when Baldassarre is brought into the banquet hall by Carlo, Tito asserts that the old man was a servant who imagined that he had been cheated out of his rightful possessions. The old man is livid with rage, and forthwith staggers to a shop where he purchases a knife with which to stab Tito. In the end, however, Baldassarre discovers Tito exhausted after escaping from the Florentines by plunging into the river. You see the hate in the eyes of the white-haired man as he takes Tito's head and holds it under the water to die.There are many heads in close-ups put forth on the screen that resemble paintings by old masters. The gowns worn by Lillian Gish make her look like some wistful beauty of the fifteenth century who had come to life through modern shadows.In some sequences this picture could be improved by a better assembling of the scenes, as at times one believes days have passed, when it finally transpires that it is only half an hour. The cutter has also permitted himself too much liberty in disposing of the action of one scene and shifting to another. We imagine that this will be remedied. This is a film to be remembered, and the gorgeous scenes will never be forgotten. THE SCREEN; A Florentine Story."
53,1924,"Pennsylvania Collector's property, Amer Art Assn sale CHILDREN EVIDENTLY SLAIN.; Marks Found on Throats of Two Jersey Boys Who Drowned."
54,1924, FINANCIAL NOTES.
55,1924,"Sues Guardian Assurance Co of London for property destroyed in burning of Smyrna in 1922, during hostilities between Turks and Greeks SUES ON SMYRNA FIRE LOSS.; American Tobacco Company Enters Test Case for Insurance."
56,1924,Lr on crossword puzzles The Cross-Word Puzzle.
57,1924,"Denounces newspaper criticisms of law enforcement and assails accounts of O'Banion murder CHICAGO MAYOR SCORES PRESS FOR CRIME TALES; Says Papers There Made O'Banion a Hero Instead of a Course, Brutal Murderer."
58,1924,Radio por MADRID AND PARIS FAIL IN LAST RADIO TEST; San Antonio Broadcasts Throughout Hour and Few Here Get European Stations.
59,1924,"The struggle of Germany's poor for food in 1923 is the theme of David Wark Griffith's remarkable new film offering. ""Isn't Life Wonderful?"" which is the principal attraction at the Rivoli this week. It was translated to the screen from a story written by Major Geoffrey C. G. Moss, formerly a brother officer of the Prince of Wales in the Grenadier Guards. Major Moss has said that incidents arising from the occupation of the Ruhr Valley made him bitterly antagonistic to the French.Mr. Griffith, however, disregards the inspiration for this literary effort and contents himself with a fling at the Kaiser and those responsible for war, without any reference to France. Through countless deft and effective touches in this simple yet deeply stirring narrative Mr. Griffith again proves himself a brilliant director. He depicts the listlessness and dulled eyes in individuals resulting from an ill-nourished condition, the apathy to meals consisting of little more than horse turnips, morning, noon and night: the disappointment in the scramble for a bit of meat, the exhilaration of a family over the hardly believable sight of a bowl of steaming potatoes, the arousing of exuberant spirits in half a dozen persons through the possession of a single egg and the boundless joy caused by a feast with liverwurst.The exteriors of this photoplay were made in Copenick, near Berlin, which is the actual background of the author's story. The interiors were produced in Mr. Griffith's Mamaroneck studio. The principal players, Carol Dempster and Neil Hamilton, are ably supported by others in the cast.The love story of Inga (Miss Dempster) and Hans (Mr. Hamilton) is unfolded with charming simplicity, there being only a few instances in which Mr. Griffith's direction is theatric. He propounds the idea that although scenic beauty loses its attraction to famished persons, love is paramount. Inga and Hans diffidently inform the family that they wish to get married, which elicits the apathetic inquiry: ""On what—turnips?""Theodore, a student son, works in a night club, where, to prevent the stealing of food the waiters are searched as they leave. One is delighted when two Americans buy all the liverwurst in the night club for Theodore. One billion marks worth of liverwurst! It wasn't a very big piece after all, but when Theodore encounters Hans and Inga, who have dug up plenty of potatoes on their allotment, the three dance arm in arm through the middle of the narrow road, their faces lighted up with delirious joy. This scene will surely bring applause every time it is shown.On the same day as Theodore received his magnificent gift; one of the two hens lays an egg. Inga holds the precious egg in her two hands as she shows it to the grandmother.Inga supplements her daily toil by working at night mending cane seated chairs in an antique shop, being paid in secondhand furniture. She deprives herself of her quota of potatoes so as to give food to Hans when he is ill, and to impress him as being well nourished, she pads her cheeks with paper.In a moment of affluence the sons send Inga to buy three pounds of meat. A long line is seen outside the butcher's shop, the door of which is guarded by armed soldiers. An hour passes, two hours, three hours, and still Inga has not gained the threshold of the shop. Meanwhile the price of meat has nearly doubled, which she learns as she watches the man continually changing the chalk figures on a slate. In the end she has insufficient money to buy enough meat, so invests it in bread. Another scene shows a line waiting outside a horsemeat shop, and dejection darkens the faces of men and women when they are told there is no more.Poverty stamps, its mark even in the pathetic cabaret show, in which the dancers wear paper costumes which rip and tear when slightly strained. Toward the end of this picture Hans and Inga are seen as the victims of lazy marauders who steal all their cartload of potatoes. Hans is beaten until he is unconscious, but when he opens his eyes and learns from Inga that all the potatoes are gone, he looks at her and as he kisses her says: ""Isn't life wonderful?""Erville Alderson impersonates an absentminded professor. He gives a splendid performance in which delicate comedy touches are most appealing. Lupino Lane plays the part of one of the boys, and he also cheers up the story, which after all is so well told that it is rarely depressing. Miss Dempster is excellent in her exacting rôle. She looks delicate, wistful and natural without any exaggerated make-up. Mr. Hamilton is capable as Hans, but he hardly impresses one as being in want of food. Helen Lowell does very well as the grandmother.Possibly this story would be even stronger if the sequence with which it is ended were put back and replaced by the dinner chapter, which would make a powerful climax.Dr. Hugo Riesenfeld introduces this picture with a beautiful prologue with twinkling sapphire stars embedded in a midnight-blue background, enhanced by the colorful costumes of the singers.Max Fleischer's cartoon, ""The Cure,"" is unusually clever. THE SCREEN; Mr. Griffith's New Picture."
60,1924,Attitude of British delegates explained ATTITUDE ON OPIUM EXPLAINED BY BRITISH; London Denies Obstruction at Geneva and Insists on Adherence to Agenda.
61,1924,"Edwards (Mrs), E B, killed Woman Killed by Train."
62,1924,"Stock Exchange prices started the new week at a higher level. The outside demand was again heavy at the opening of business yesterday and on this buying many issues, especially among the railroads, established new high records for the current year. This strength continued to prevail until the early afternoon, when the call money rate, which had opened at 3 per cent., advanced to 3 1/2 per cent., following the calling of loans.   TOPICS IN WALL STREET.; Stocks React After Early Strength; Trading Continues Active."
63,1924,"HAVANA, Dec. 2. -- Whippet, the even-money favorite, with Carpenter in the saddle won the claiming race at one mile and seventy yards at Oriental Park today. Peter Pierson was second and The Ulster third. In the opening event Albiker rode Goldmark to victory at the five and one-half furlong dash.   WHIPPET WINS AT HAVANA.; Favorite First at Oriental Park -- Three Jockeys Are Set Down."
64,1924,"Sustains demurrer to indictment against Journal-Post of Kansas City, rules no law was violated by publication of income tax returns, in test suit brought by Govt; Atty Gen Stone indicates case will go to U S Supreme Court TAX LIST PUBLICATION IS UPHELD BY COURT IN KANSAS CITY CASE; Federal Judge Rules That to Bar Printing of Payments Would Be Unconstitutional."
65,1924,"Sec Works, in annual report of Interior Dept, recommends putting Alaskan and Hawaiian affairs under one department WORK WANTS BOARD ON OIL IN CABINET; Secretary of Interior Urges Its Appointment in Order to Conserve Deposits."
66,1924, Front Page 2 -- No Title
67,1924,"Grossman decision may affect Controller C L Craig, pardoned by former Pres Harding GROSSMAN DECISION MAY AFFECT CRAIG; Both Bootlegger and Controller Were Pardoned After Conviction for Contempt of Court."
68,1924,"Firpo, Juan A, vs Vasquez Firpo's Brother Knocked Out."
69,1924,Assets and properties acquired by N Y and Boston banking interests WALL ST. EXPECTED TO GIVE BIG BONUSES; Employes of Brokerage and Banking Houses Looking Forward to Christmas.
70,1924,"Protests against removal of word ""Protestant"" before ""Episcopal"" in newspaper ads CHURCH LEAGUE MAKES PROTEST AGAINST ADS; Opposed to Removal of the Word 'Protestant' Before Episcopal in Announcements."
71,1924,Direct line opened Opens British-West Indies Cable.
72,1924,Ed RUSSIA'S BALTIC NEIGHBORS.
73,1924,"Found wandering in Easton, Pa Girl Found Dazed In Street."
74,1924," MISS MEISE VICTOR IN GENTILITY PURSE; Scores Sixth Victory In 12 Starts, Taking the Feature Race at New Orleans."
75,1924,Wins Filene peace award in Italy TWO ITALIAN PLANS DIE PEACE PRIZE; Filene Award Goes to One Based on League and Another on United States of Europe. COVENANT CHANGES ASKED America's Entry and Direct Representation of People in League Provided For. WAY TO UNITE EUROPE Practical Working Arrangement Believed Possible -- Italian Essays Complete the Filene Series.
76,1924," GIBBONS HAS FIRST SPARRING SESSION; Boxes With Spitall in Workout, Loses Pound and Half Wilson to Meet Flowers."
77,1924, BIG TEN BODY TO MEET.; Schedule Session Will Be Held in Chicago Friday and Saturday.
78,1924,Sundown PREMIER MUSSOLINI GLORIFIES PUCCINI; Tells Chamber His Music Will Never Die -- The Scala Draped in Mourning.
79,1924,Baby boy left in 9th Av elevated rest room 9 DEGREES BELOW FREEZING.; Low Point at 8 A.M. Yesterday -Rising Temperature Forecast.
80,1924,Urges it in article in Mooseheart Magazine MELLON ADVISES MORE LOANS ABROAD; Counsels American Business to Be Ready to Help Finance Europe Further.
81,1924, TO APPEAL CASE AT ONCE.
82,1924,"Now that an unmistakable ""bull movement"" has continued uninterruptedly on the Stock Exchange for nearly a complete month, two questions are bound to be asked with more insistence. What is to be the action of the investment market itself during the next few months? What situation in general trade and industry is reasonably to be expected, in line with the stock market's prediction?   FINANCIAL MARKETS; New Phases of the Stock Exchange Movement -- Some Questions of the Future."
83,1924,"Opens shop at Boston MRS. ATWATER OPENS SHOP.; Boston Society Woman Says She Is Tired of the ""Usual Female Things."""
84,1924,"Report that rebels routed Govt troops at Barra Berachi, state of Rio Grande do Sul ROUT BRAZILIAN TROOPS.; Rebels Capture War Stores and Horses at Barra Berachi."
85,1924, YALE CREWS QUIT RIVER.; Cold Weather and Early Darkness End Fall Rowing Season.
86,1924,"State's Atty A Boswell and Coroner G Bell, Klansmen, assume office Klansmen Take Office in Marion, Ill."
87,1924,"Justice J L Walsh of City Court apptd by Gov Smith to succeed Judge T F Connelly in N Y S Supreme Court; Comr B L Shientag succeeds Walsh Walsh, From Laborer to Judge in 11 Years, Now on Supreme Bench; Shientag a Judge, Too"
88,1924," "" West Point Eleven Prayed Before Each Game"" -- Garbish"
89,1924,Vs Levine CRESCENTS BEATEN IN MET. SQUASH; Bow to Short Hills Club in First Defeat in Interclub Title Tourney.
90,1924, MUSIC NOTES.
91,1924,Spirit conversation Reports Spirit Message from Northcliffe Sent Word from Bonar Law to Editor
92,1924,"Tighe, F, shot BLOW UP STORE AND FAMILY; Dynamite Placed in the Doorway of Grocery."
93,1924,Ziwar Pasha pubs explanatory lrs on settlement; more British troops arrive; withdraw guard from Alexandria Customs; Egyptian Govt defends arrest of Deputies; 800 Cairo students demand revolution; disperse quietly; Zaghlul Pasha appeals to British Labor in lr to B C Spoor; Turkey ignores Cairo protest against British policy EGYPTIAN STUDENTS DEMAND REVOLUTION; But Demonstration in Cairo Disperses Without More Than Verbal Protests.
94,1924,Few new bills introduced FEW NEW BILLS OFFERED.; Only 225 in House and None in Senate.
95,1924, Obituary 1 -- No Title
96,1924,Next Army game will be played at Polo Grounds ARMY-NAVY GAME TO BE PLAYED HERE; Service Elevens Scheduled to Clash at Polo Grounds on Nov. 28 Next Year.
97,1924,K Jaworek sentenced for attempt at assassination in June SEIPEL'S ASSAILANT SENTENCED IN VIENNA; Karl Jaworek Gets 3 1/2 Years for Attack on Ex-Chancellor -- Mildness Causes Surprise.
98,1924, Article 1 -- No Title
99,1924,Says he will not abandon power under any conditions; clean-up order resented MUSSOLINI AVOWS PURPOSE TO STICK; Tells His Followers He Will Abandon Nothing Either Now or in the Future.
100,1924,"Cullings, R C Drowns as Machine Skids Into River"
101,1924,Conflict in British and Amer views on Amer war claims and reparations FINANCE MINISTERS POSTPONE MEETING; French Report That Move Is Due to British-American Dispute Is Denied in London.
102,1924,"Serious conditions cited by Sen D H Agans, at Atlantic City meeting of N J Grange SEES GRAVE MENACE IN FARMS PROBLEM; Master of Jersey Grange Fears Food Shortage as Result of Desertion of Acreage."
103,1924,"Oriental Novelty Shop HURL VICTIM INTO CELLAR.; Daylight Bandits Rob Philadelphia Merchant of $1,600."
104,1924,"Some of the passengers leaving today for Cherbourg and Southampton on the Cunarder Maurentania are Sir Malcolm Robertson, C.M.G., and Lady Robertson; Major Percy Greathead, D.S.O.; A. Mikellatos, W.H. Goodman, Charles Hendy, Mr. and Mrs. Harry Armitage, A.B. Hughes, Mrs. W.A. Corbett, Mrs. Mary E. Rushworth, Baron de Wahrtren, Professor Frank Zilka of Prague.   3 SHIPS SAIL TODAY; 2 ARRIVE, 1 DUE; Prominent British Visitors on the Mauretania, Leaving for Southampton."
105,1924,"Discussion at meeting of Natl Highway Traffic Assn WANTS TO ARCADE MILES OF 5TH AV.; Engineer Tells Highway Meeting It Would Cost Not More Than $12,000,000 a Mile."
106,1924,At banquet in Vosges in honor of Deputy Picard FRENCH ARE STIRRED BY GRAFT CHARGES; Herriot Stands By Commerce Minister Accused by Opponents of the Government.
107,1924, Article 1 -- No Title
108,1924,"Amateur bouts NEW YORK BOXER VICTOR IN BOSTON; Irving Takes 126-Pound Intercity Final -- Stopler, Swartz and Herbert Lose."
109,1924,"Ed, Limits of political independence LIMITS OF POLITICAL INDEPENDENCE."
110,1924,Suggestions of League of Nations Subcom for Ports and Maritime Navigation RAZING FORECASTS 1925 BUILDING PACE; Bronx Now Vies With Manhattan and Brooklyn in Volume of Reconstruction Work. MANY SIGNS OF REVIVAL Cement Industry Supplying New York Nearly Exhausts Its October Reserve Stocks.
111,1924,"Song recital Alma Kitchell, Contralto, Sings."
112,1924,"Stock sale $8,750,000 STOCK OFFERED.; Lumber Company's Shares Marketed at $52.75."
113,1924, Birth Notice 1 -- No Title
114,1924,Progress on consortium plan BRASS AND ZINC HIGHER.; Copper Producers Quota 14 1/4 Cents for Large Quantities.
115,1924, COAST GAME FOR MISSOURI.; Eleven Will Play Southern California on Christmas Day.
116,1924,Indian sec Yiba Ybao converted to R C Ch Tagore's Secretary Turns Christian.
117,1924,"Old Glory Sale Stivers, Idaho Star, Played After Neck Was Dislocated"
118,1924," 10,000,000 Persons Saw This Year's Football Games"
119,1924, Birth Notice 1 -- No Title
120,1924,Gen Chang leaves Peking suddenly for Tientsin; Gen Feng in western hills recruiting army CHANG QUITS PEKING WITHOUT WARNING; Troops of Feng Take the Place of Those of Manchurian General.
121,1924,Injured in fire SIX KILLED IN FIRE IN A ROOMING HOUSE; Heroic Work of Firemen Saves Many Trapped in Sixty-third Street Blaze.
122,1924,"Sold FRENCH SHIP LINE OFFERS BONDS HERE; Syndicate Puts $10,000,000 Securities on Market at 91 to Yield 7.80 Per Cent."
123,1924,Close Harmony THE PLAY; Suburban Harmonies.
124,1924,Turkish Grand Natl Assembly approves decision of Cabinet to ignore Egyptian protests against England Turkey Ignores Cairo Protests.
125,1924,"Lipphard (Mrs), E, killed AUTO KILLS A BOY, THE DRIVER FLEES; Bystanders Catch the License Number and the Police Are Investigating."
126,1924,"J S Phillips says radical legislation will have hard time next session SEES LITTLE HOPE FOR RADICAL LAWS; Jesse S. Phillips Declares Legislature Will Defeat ""Revolutionary Measures."""
127,1924,U S consulates say applications exceed 1925 quotas Applications Exceed Swedish Quota.
128,1924,"Lawyer to see important witnesses for bride HELP RHINELANDER'S BRIDE.; Lawyer Here to See ""Important"" Witnesses in Annulment Suit."
129,1924,"Oct report IMPORT SURPLUS OF GERMANY INCREASES; October Excess Was 232,183,000 -- Increase of Imports Due Food and Raw Materials."
130,1924,"Cut by Dodge Brothers, Inc, and Ford Motor Co DODGE AND FORD CUT PRICES; Reductions of From $175 to $25 Are Reported on Various Models."
131,1924,Natl City Bank reviews money market conditions CHEAP MONEY HERE COULD END SOON; Increase in Business Requirements or Shift to Europe Might Reverse Market.
132,1924,Appropriations bill reported to House; provisions FIRST SUPPLY BILL READY.
133,1924,"Gift to Dem campaign fund DEMOCRATS SPENT $903,908 FOR DAVIS; Received Only $845,520, but Borrowed of New York Trust Company $120,000."
